,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,16,phq9,6,PCA,SVC,1,0.45762711864406774,0.42342342342342343,27,20,10,54,"[1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0
 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1
 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0]",0
1,16,phq9,6,PCA,kNN,1,0.49206349206349204,0.42342342342342343,31,16,14,50,"[1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0
 1 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0
 1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 1 0]",0
2,16,phq9,6,PCA,RF,1,0.6293706293706294,0.5225225225225225,45,13,17,36,"[1 1 1 1 0 0 1 0 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1
 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 0 0 0 1 0 1 0 1 1
 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 0]",0
3,16,phq9,6,PCA,LR,1,0.6883116883116883,0.5675675675675675,53,10,20,28,"[1 1 0 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0
 1 1 1 0 1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 1
 1 1 0 1 0 1 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0]",0
4,16,phq9,6,PCA,XG,1,0.6231884057971014,0.5315315315315315,43,16,14,38,"[1 1 0 1 0 0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0
 1 1 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 0 0 0 1 0 1 0 1 1
 1 1 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0 1 0]",0
5,16,phq9,6,PCA,SVC,2,0.46280991735537186,0.4144144144144144,28,18,12,53,"[1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0
 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0]",0
6,16,phq9,6,PCA,kNN,2,0.5864661654135339,0.5045045045045045,39,17,13,42,"[1 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1
 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1
 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0]",0
7,16,phq9,6,PCA,RF,2,0.7019867549668874,0.5945945945945946,53,13,17,28,"[1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 0 0 1 1
 1 1 1 1 0 0 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1
 1 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0]",0
8,16,phq9,6,PCA,LR,2,0.5954198473282443,0.5225225225225225,39,19,11,42,"[1 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0
 1 0 1 0 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1
 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0]",0
9,16,phq9,6,PCA,XG,2,0.6382978723404256,0.5405405405405406,45,15,15,36,"[1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1
 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1
 1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 1 0]",0
10,16,phq9,6,PCA,SVC,3,0.4406779661016949,0.40540540540540543,26,19,11,55,"[0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0
 1 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 1 1 1 0 0 0 1 1 0]",0
11,16,phq9,6,PCA,kNN,3,0.7058823529411765,0.5945945945945946,54,12,18,27,"[1 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0 0 0 1
 1 0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 1]",0
