id,inTexts,outTexts,inCalls,outCalls
00WRNS3MK,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 0, 151, 318, 0, 0, 15, 369, 203, 87, 16, 0, 0, 13, 245, 81, 106, 0, 11, 0, 94, 7, 0, 0, 0, 0, 0, 0, 6, 0, 46, 0, 0, 5, 0, 0, 0, 58, 32, 0, 0, 0, 21, 26, 0, 26, 0, 0, 106, 0, 0, 134, 0, 0, 0, 0, 70, 0, 35, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 320, 39, 9, 0, 0, 22, 0, 0, 0, 24, 95, 0, 0, 0, 223, 0, 10, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 572, 0, 0, 62, 0, 0, 0, 0, 9, 5, 0, 0, 11, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 50, 0, 0, 11, 0, 118, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 88, 0, 0, 24, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0]"
053F3JF85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1673, 0, 74, 1205, 0, 0, 0, 19, 1369, 0, 0, 0, 230, 0, 0, 0, 0, 6, 358, 51, 0, 0, 0, 0, 514, 21, 252, 2023, 2136, 1208, 0, 0, 0, 12, 0, 0, 3249, 494, 0, 20, 468, 0, 0, 0, 79, 903, 0, 0, 258, 0, 1442, 651, 1418, 0, 0, 0, 0, 0, 317, 114, 0, 117, 492, 795, 210, 0, 0, 24, 14, 6, 227, 0, 22, 0, 208, 23, 0, 124, 1177, 184, 0, 158, 716, 0, 985, 31, 0, 91, 208, 0, 775, 141, 0, 118, 0, 36, 7, 1196, 0, 43, 44, 764, 33, 243, 141, 560, 0, 0, 18, 0, 25]","[17, 206, 68, 181, 1104, 26, 10, 82, 0, 368, 2, 0, 164, 591, 185, 0, 0, 0, 46, 0, 113, 0, 0, 0, 0, 158, 0, 850, 0, 16, 577, 295, 0, 1, 100, 0, 4, 0, 95, 56, 16, 0, 0, 0, 0, 0, 71, 0, 220, 90, 0, 0, 189, 195, 3219, 0, 71, 52, 263, 386, 4, 0, 299, 150, 466, 0, 0, 302, 0, 0, 0, 93, 3, 433, 0, 34, 0, 2460, 8, 2132, 292, 3001, 1462, 45, 0, 1440, 23, 118, 680, 566, 121, 2708, 0, 456, 131, 24, 2466, 78, 386, 2087, 1542, 736, 2832, 61, 4029, 279, 414, 120, 0, 245, 75, 219]"
06YZBXW0E,"[19, 17, 13, 14, 23, 18, 20, 26, 2, 8, 8, 11, 17, 4, 6, 2, 0, 1, 2, 2, 15, 6, 1, 1, 0, 7, 1, 6, 0, 4, 2, 1, 1, 1, 3, 1, 1, 2, 2, 6, 4, 4, 0, 1, 1, 1, 6, 4, 11, 1, 7, 0, 0, 1, 0, 2, 13, 4, 4, 1, 1, 0, 2, 3, 0, 0, 0, 2, 1, 2, 0, 8, 1, 1, 0, 3, 8, 4, 0, 0, 2, 4, 6, 9, 1, 1, 0, 0, 8, 1, 1, 3, 1, 0, 0, 4, 0, 0, 0, 1, 0, 2, 1, 2, 1, 0, 1, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 100, 470, 173, 2136, 93, 23, 0, 0, 2402, 63, 307, 0, 0, 0, 0, 29, 28, 135, 0, 0, 291, 43, 0, 11, 1191, 0, 0, 0, 0, 0, 8, 57, 0, 0, 336, 222, 0, 7, 0, 0, 424, 0, 879, 4, 44, 6, 0, 0, 0, 0, 47, 6, 15, 9, 3, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 158, 286, 7, 8, 10, 0, 0, 356, 0, 322, 0, 11, 0, 0, 6, 704, 124, 12, 46, 16, 0, 25, 11, 0, 9, 0, 0, 0, 0, 137, 0]","[0, 0, 0, 0, 0, 0, 0, 411, 114, 0, 62, 516, 1838, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 113, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 295, 0, 0, 0, 0, 0, 0, 0]"
0832IIHPX,"[43, 24, 29, 30, 4, 15, 35, 34, 41, 55, 21, 13, 15, 1, 14, 1, 19, 28, 33, 6, 11, 13, 33, 13, 72, 5, 15, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[175, 0, 0, 0, 0, 113, 856, 180, 0, 16, 2342, 0, 0, 0, 13, 0, 0, 0, 0, 0, 438, 0, 352, 8, 0, 0, 0, 0, 16, 0, 790, 0, 0, 0, 178, 0, 0, 0, 20, 9, 65, 174, 7, 287, 0, 0, 0, 948, 10, 18, 13, 41, 0, 0, 0, 0, 3, 8, 489, 22, 248, 69, 0, 0, 7, 0, 1359, 0, 0, 0, 0, 0, 67, 15, 48, 0, 99, 0, 0, 0, 18, 0, 102, 0, 0, 18, 65, 0, 9, 0, 37, 7, 7, 34, 0, 12, 372, 1233, 7, 28, 588, 598, 0, 0, 0, 0, 0, 0, 7, 0, 46, 0]","[0, 84, 0, 41, 0, 0, 32, 33, 0, 0, 0, 0, 966, 0, 222, 54, 1101, 0, 0, 329, 42, 0, 0, 2179, 0, 2173, 37, 0, 6, 3693, 3748, 0, 0, 0, 394, 74, 0, 0, 0, 1115, 0, 5, 113, 184, 14, 40, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 25, 52, 134, 47, 0, 498, 13, 0, 0, 0, 577, 0, 0, 0, 0, 23, 22, 35, 499, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1549, 42, 1, 0, 193, 308, 287, 2, 147, 47, 28, 0, 765, 0, 0, 348, 36, 658, 94, 19, 0, 81, 0, 29, 314, 0, 1336, 0]"
0AS1KO35P,"[1, 8, 0, 8, 11, 15, 4, 16, 8, 4, 2, 3, 4, 2, 5, 3, 7, 7, 5, 8, 1, 7, 4, 2, 6, 4, 4, 2, 3, 1, 4, 3, 4, 3, 72, 2, 2, 4, 0, 11, 5, 6, 6, 19, 2, 2, 8, 4, 24, 6, 12, 10, 4, 5, 7, 8, 10, 5, 5, 4, 5, 8, 6, 1, 11, 8, 7, 6, 4, 4, 6, 3, 3, 5, 3, 1, 1, 2, 2, 2, 4, 2, 5, 0, 5, 5, 6, 4, 14, 8, 6, 4, 2, 6, 5, 1, 10, 4, 7, 3, 1, 4, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 227, 379, 175, 28, 405, 95, 178, 151, 0, 0, 0, 0, 0, 60, 231, 45, 93, 0, 232, 0, 77, 0, 92, 27, 16, 0, 0, 0, 6, 26, 0, 9, 0, 0, 194, 0, 0, 0, 0, 382, 59, 53, 73, 145, 48, 29, 13, 113, 0, 0, 0, 274, 112, 0, 135, 178, 211, 0, 0, 0, 0, 26, 107, 160, 9, 8, 0, 0, 0, 10, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 40]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84, 185, 0, 0, 93, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 23, 0, 29, 0, 94, 0, 6, 46, 20, 0, 0, 0, 86, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0EZE7RBCS,"[0, 5, 2, 1, 4, 1, 3, 3, 3, 2, 2, 2, 0, 1, 1, 1, 0, 1, 0, 2, 4, 1, 3, 3, 2, 4, 2, 4, 7, 3, 0, 0, 0, 3, 2, 0, 4, 1, 7, 2, 1, 1, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 6, 1, 0, 0, 0, 0, 1, 3, 1, 3, 1, 1, 1, 0, 4, 0, 0, 0, 1, 0, 1, 4, 1, 1, 2, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[66, 343, 0, 0, 98, 0, 75, 12, 0, 0, 0, 110, 641, 898, 0, 68, 14, 0, 0, 51, 84, 1726, 636, 68, 283, 68, 0, 7, 17, 0, 0, 0, 262, 80, 0, 0, 62, 0, 764, 0, 73, 0, 215, 4, 0, 66, 73, 14, 540, 5, 0, 21, 96, 228, 89, 5, 40, 3, 6, 0, 87, 338, 4, 9, 32, 0, 0, 55, 80, 122, 0, 39, 0, 32, 35, 0, 82, 84, 0, 0, 127, 39, 0, 0, 111, 0, 0, 0, 397, 17, 6, 81, 0, 15, 132, 32, 0, 149, 30, 0, 0, 51, 88, 114, 151, 49, 40, 13, 14, 424, 0, 0]","[0, 445, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 31, 0, 38, 0, 0, 26, 0, 0, 51, 74, 1002, 127, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 908, 0, 0, 749, 289, 1, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 3, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 0, 0, 0, 55, 0, 0, 234, 6, 0, 0, 0, 0, 0, 0, 343, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 241, 25, 0, 0, 0, 0, 0, 0, 0, 0]"
0FA8HUTCN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 91, 0, 0, 0, 0, 0, 0, 0, 0]"
0GJVGLPFD,"[0, 3, 9, 1, 3, 9, 4, 8, 3, 3, 6, 8, 6, 14, 1, 28, 1, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 238, 139, 159, 724, 342, 125, 69, 182, 235, 71, 0, 65, 101, 475, 281, 158, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1309, 579, 188, 1627, 1075, 63, 71, 0, 18, 4, 2053, 92, 727, 1750, 561, 762, 45, 53, 905, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0IJCJHPSJ,"[10, 9, 3, 7, 8, 19, 40, 15, 6, 3, 40, 21, 17, 22, 19, 13, 19, 29, 25, 19, 39, 16, 5, 4, 12, 18, 24, 29, 5, 5, 15, 23, 24, 52, 9, 19, 2, 40, 22, 11, 25, 19, 10, 15, 9, 15, 9, 7, 12, 17, 8, 5, 14, 12, 17, 7, 19, 13, 6, 8, 9, 51, 30, 20, 8, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 265, 0, 24, 0, 21, 43, 0, 698, 210, 50, 27, 0, 0, 13, 0, 0, 40, 0, 649, 108, 9, 0, 37, 0, 0, 0, 48, 0, 132, 91, 11, 164, 0, 0, 254, 224, 0, 0, 45, 0, 0, 1615, 0, 87, 154, 0, 0, 0, 29, 0, 0, 22, 0, 22, 0, 122, 151, 0, 0, 42, 49, 29, 167, 0, 0, 0, 0, 215, 63, 0, 63, 0, 162, 97, 727, 199, 365, 0, 0, 0, 308, 0, 19, 1769, 323, 74, 0, 0, 263, 0, 143, 0, 658, 0, 0, 280, 104, 0, 0, 0, 0, 317, 54, 0, 1805, 0, 0, 195, 73, 0, 0]","[0, 48, 0, 0, 711, 253, 0, 1312, 0, 16, 0, 515, 864, 94, 0, 406, 0, 93, 0, 533, 3, 28, 9, 0, 0, 714, 57, 613, 194, 14, 424, 0, 2, 201, 63, 207, 1355, 0, 77, 258, 303, 0, 3, 0, 0, 0, 0, 112, 217, 0, 0, 0, 19, 0, 571, 0, 238, 552, 4, 52, 0, 223, 1035, 85, 0, 0, 691, 4321, 0, 0, 0, 6, 1090, 290, 342, 0, 943, 0, 346, 446, 1269, 1265, 42, 142, 47, 543, 53, 337, 267, 48, 0, 83, 0, 0, 249, 696, 0, 50, 153, 34, 0, 471, 0, 51, 0, 0, 159, 124, 0, 1621, 0, 864]"
0NZH3ULXB,"[40, 8, 19, 30, 8, 54, 42, 44, 15, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[48, 16, 29, 56, 29, 110, 66, 81, 31, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[171, 3422, 1224, 256, 465, 587, 6921, 518, 25, 706, 1950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[113, 207, 423, 633, 293, 1058, 1034, 929, 308, 317, 2602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
